cohort,comparison,gene,mean_pos,mean_neg,cohens_d,p_value,univariate_AUC
GSE152075,COVID vs Control,HIF1A,0.013,-0.103,0.116,0.8043,0.51
GSE152075,COVID vs Control,VEGFA,-0.04,0.322,-0.365,0.0228,0.406
GSE152075,COVID vs Control,SLC2A1,-0.088,0.698,-0.817,0.0,0.305
GSE152075,COVID vs Control,LDHA,0.03,-0.242,0.273,0.0095,0.608
GSE152075,COVID vs Control,PDK1,0.005,-0.04,0.046,0.5269,0.474
GSE152075,COVID vs Control,IL6,-0.035,0.277,-0.313,0.0416,0.43
GSE152075,COVID vs Control,TNF,-0.019,0.149,-0.168,0.9987,0.5
GSE152075,COVID vs Control,CXCL8,0.0,-0.003,0.004,0.0005,0.355
GSE152075,COVID vs Control,STAT3,-0.032,0.257,-0.291,0.2256,0.449
GSE152075,COVID vs Control,MMP9,-0.005,0.04,-0.046,0.1531,0.454
GSE157103,ICU vs NonICU,HIF1A,0.136,-0.153,0.292,0.0558,0.6
GSE157103,ICU vs NonICU,VEGFA,-0.025,0.027,-0.052,0.285,0.444
GSE157103,ICU vs NonICU,SLC2A1,0.294,-0.33,0.657,0.0001,0.711
GSE157103,ICU vs NonICU,LDHA,0.254,-0.284,0.558,0.0002,0.694
GSE157103,ICU vs NonICU,PDK1,-0.11,0.124,-0.236,0.2289,0.437
GSE157103,ICU vs NonICU,IL6,-0.056,0.062,-0.118,0.2792,0.444
GSE157103,ICU vs NonICU,TNF,-0.293,0.328,-0.653,0.0006,0.321
GSE157103,ICU vs NonICU,CXCL8,-0.163,0.183,-0.352,0.0602,0.401
GSE157103,ICU vs NonICU,STAT3,0.16,-0.179,0.344,0.039,0.608
GSE157103,ICU vs NonICU,MMP9,0.204,-0.228,0.443,0.0141,0.629
GSE171110,Severe vs Healthy,HIF1A,0.116,-0.511,0.644,0.0695,0.686
GSE171110,Severe vs Healthy,VEGFA,0.12,-0.528,0.667,0.0238,0.732
GSE171110,Severe vs Healthy,SLC2A1,0.025,-0.109,0.133,0.1064,0.334
GSE171110,Severe vs Healthy,LDHA,0.242,-1.065,1.505,0.0,0.989
GSE171110,Severe vs Healthy,PDK1,0.127,-0.56,0.709,0.0569,0.695
GSE171110,Severe vs Healthy,IL6,0.054,-0.236,0.289,0.8849,0.484
GSE171110,Severe vs Healthy,TNF,-0.015,0.066,-0.081,0.5701,0.441
GSE171110,Severe vs Healthy,CXCL8,-0.292,1.285,-2.005,0.0,0.08
GSE171110,Severe vs Healthy,STAT3,0.214,-0.94,1.284,0.0004,0.866
GSE171110,Severe vs Healthy,MMP9,0.151,-0.666,0.856,0.0,0.975
GSE212861,Covid19_SDRA vs Covid19,HIF1A,0.446,-0.245,0.733,0.0011,0.706
GSE212861,Covid19_SDRA vs Covid19,VEGFA,0.101,-0.056,0.157,0.4974,0.543
GSE212861,Covid19_SDRA vs Covid19,SLC2A1,0.085,-0.047,0.131,0.2492,0.573
GSE212861,Covid19_SDRA vs Covid19,LDHA,0.518,-0.285,0.871,0.0002,0.733
GSE212861,Covid19_SDRA vs Covid19,PDK1,0.157,-0.086,0.244,0.2627,0.571
GSE212861,Covid19_SDRA vs Covid19,IL6,0.011,-0.006,0.017,0.9355,0.495
GSE212861,Covid19_SDRA vs Covid19,TNF,-0.375,0.206,-0.605,0.0059,0.327
GSE212861,Covid19_SDRA vs Covid19,CXCL8,-0.134,0.074,-0.208,0.0406,0.371
GSE212861,Covid19_SDRA vs Covid19,STAT3,0.481,-0.265,0.799,0.0006,0.716
GSE212861,Covid19_SDRA vs Covid19,MMP9,0.442,-0.243,0.725,0.0003,0.727
GSE300696,Hospitalized vs Convalescent,HIF1A,0.086,-0.102,0.189,0.6834,0.487
GSE300696,Hospitalized vs Convalescent,VEGFA,0.232,-0.276,0.525,0.0009,0.604
GSE300696,Hospitalized vs Convalescent,SLC2A1,0.164,-0.195,0.365,0.2424,0.536
GSE300696,Hospitalized vs Convalescent,LDHA,0.267,-0.317,0.61,0.0,0.642
GSE300696,Hospitalized vs Convalescent,PDK1,0.159,-0.189,0.353,0.1335,0.547
GSE300696,Hospitalized vs Convalescent,IL6,0.064,-0.076,0.14,0.3196,0.469
GSE300696,Hospitalized vs Convalescent,TNF,0.247,-0.294,0.561,0.0,0.631
GSE300696,Hospitalized vs Convalescent,CXCL8,0.077,-0.091,0.169,0.9025,0.504
GSE300696,Hospitalized vs Convalescent,STAT3,0.188,-0.224,0.421,0.076,0.555
GSE300696,Hospitalized vs Convalescent,MMP9,0.212,-0.253,0.478,0.0,0.676
