gene,logfc,pval,pval_adj
IFITM2,6.0849876,0.0,0.0
S100A8,8.49362,0.0,0.0
S100A11,5.567144,0.0,0.0
IFITM3,6.3675,0.0,0.0
FTH1,3.3141234,0.0,0.0
IFITM1,4.8046308,0.0,0.0
S100A9,6.0802574,0.0,0.0
S100A6,3.858126,0.0,0.0
B2M,1.1857023,0.0,0.0
TYROBP,5.019307,0.0,0.0
FCGR3B,7.334951,0.0,0.0
MT2A,6.862844,0.0,0.0
MNDA,5.5489354,0.0,0.0
SRGN,3.9580438,0.0,0.0
NEAT1,4.6016817,0.0,0.0
FCER1G,4.814706,0.0,0.0
ITM2B,2.664503,0.0,0.0
FPR1,5.904406,0.0,0.0
MALAT1,1.5503311,0.0,0.0
MYL12A,2.3479233,0.0,0.0
H3F3A,2.3010883,0.0,0.0
ACTB,1.2588681,0.0,0.0
IFIT3,7.050245,0.0,0.0
S100A12,5.138993,0.0,0.0
NAMPT,5.0380297,0.0,0.0
ALOX5AP,3.833827,0.0,0.0
LY6E,3.0117838,0.0,0.0
H3F3B,1.6358763,0.0,0.0
IFIT1,7.1164703,0.0,0.0
SERPINB1,3.9124157,0.0,0.0
