feature,importance
age_percentile,0.08330847
crp,0.070691
immunocomp,0.06766373
lactate,0.05858745
inr,0.049714446
urea,0.04708136
lymphocytes,0.039884567
glucose,0.03987117
temperature,0.03711142
htn,0.035121795
age_65plus,0.03424782
leukocytes,0.031626534
ast,0.031336438
neutrophiles,0.030484276
dbp,0.030453531
creatinine,0.029513713
heart_rate,0.02738287
d_dimer,0.026607804
resp_rate,0.02535598
aptt,0.025275836
spo2,0.023020547
alt,0.021810964
hgb,0.02068492
sbp,0.01944071
sex,0.019406334
bilirubin,0.019243602
potassium,0.019115275
sodium,0.018758146
platelets,0.017199347
albumin,0.0
