feature,mean_abs_shap
crp,0.76568776
dbp,0.5351615
urea,0.50485235
age_percentile,0.4922473
temperature,0.46098953
creatinine,0.45106044
sodium,0.41595224
heart_rate,0.371423
ast,0.34034607
lymphocytes,0.29265612
glucose,0.28486907
neutrophiles,0.23988461
lactate,0.21250875
leukocytes,0.21086586
alt,0.15074903
hgb,0.14861381
platelets,0.124046646
d_dimer,0.09215889
aptt,0.07359928
resp_rate,0.07133363
potassium,0.06455577
bilirubin,0.063933074
sbp,0.055547863
spo2,0.0548632
inr,0.03855951
htn,0.03625307
immunocomp,0.022246372
sex,0.020662798
age_65plus,0.007969221
albumin,0.0
