feature,mean_abs_shap
RTG_score,2.7423441
glikemija,0.61335593
pBNP,0.2885183
bilT,0.2775385
limfociti,0.22856691
ddimer,0.22570622
IL6,0.182096
K,0.15429185
urea,0.15081172
AST,0.10951424
gGT,0.09177089
kreatinin,0.08297048
SAT_O2,0.0699778
pct,0.06074047
CK,0.051243536
aPTT,0.040843915
trombociti,0.03671283
troponin,0.029425142
feritin,0.026126679
Na,0.023866046
pol,0.01638041
godine,0.012942668
eritrociti,0.012037373
LDH,0.011543579
DM,0.008323891
INR,0.006179958
PV,0.0057602474
ALT,0.0012325528
CRP,0.00026435152
HTA,0.0
pO2,0.0
komorbiditeti_bin,0.0
albumini,0.0
hgb,0.0
HOBP,0.0
neuroloska_dg,0.0
HRI,0.0
maligna_Dg,0.0
leukociti,0.0
vakcinacija,0.0
