Feature,Coefficient,SE,OR,CI_low,CI_high,p_value,Direction
DM,0.993,0.317,2.7,1.45,5.02,0.0017,↑ Risk
neuroloska_dg,0.889,0.354,2.43,1.21,4.87,0.0121,↑ Risk
SAT_O2,-0.855,0.705,0.43,0.11,1.69,0.2256,↓ Risk
HRI,0.756,0.639,2.13,0.61,7.45,0.2366,↑ Risk
HTA,-0.687,0.369,0.5,0.24,1.04,0.0631,↓ Risk
godine,0.674,0.38,1.96,0.93,4.13,0.0759,↑ Risk
maligna_Dg,0.438,0.413,1.55,0.69,3.48,0.2884,↑ Risk
pO2,-0.292,0.598,0.75,0.23,2.41,0.6255,↓ Risk
pol,-0.126,0.292,0.88,0.5,1.56,0.6674,↓ Risk
HOBP,-0.06,0.231,0.94,0.6,1.48,0.7967,↓ Risk
vakcinacija,0.041,0.307,1.04,0.57,1.9,0.8934,↑ Risk
