feature,mean_abs_shap_kragujevac
sodium,1.1768509
crp,1.0046291
dbp,0.5533874
temperature,0.4737405
urea,0.4390997
aptt,0.4267798
heart_rate,0.42134485
creatinine,0.38176098
lymphocytes,0.29679313
alt,0.21427695
neutrophiles,0.17208163
glucose,0.15487768
age_percentile,0.15038615
potassium,0.14173476
sbp,0.12929364
platelets,0.11912248
spo2,0.09857703
bilirubin,0.086696275
lactate,0.05110118
leukocytes,0.03551232
ast,0.031128284
hgb,0.027106088
inr,0.024929661
htn,0.02030466
resp_rate,0.019210514
immunocomp,0.013779666
d_dimer,0.011547696
age_65plus,0.0039416
sex,0.0016659613
albumin,0.0
